Date,Lats,Lons,Group,Validation
2022-06-27,-3.52702,-60.187986,-3998.0,0.83
2022-06-27,-3.716797,-60.252187,-3998.0,0.87
2022-06-27,-3.500848,-60.28321,-3998.0,0.99
2022-06-27,-3.532974,-60.183609,-3998.0,1.0
2022-06-27,-3.704302,-60.226763,-3998.0,1.0
2022-06-27,-3.531561,-60.186012,-3998.0,1.0
2022-06-27,-3.528091,-60.184381,-3998.0,1.0
2022-06-27,-3.532203,-60.179317,-3998.0,1.0
2022-06-27,-3.534902,-60.181163,-3998.0,1.0
2022-06-27,-3.527277,-60.190261,-3998.0,1.0
2022-06-27,-3.52702,-60.186184,-3998.0,1.0
2022-06-27,-3.527705,-60.269777,-3998.0,1.0
2022-06-27,-3.531003,-60.266258,-3998.0,1.0
2022-06-27,-3.732823,-60.181724,-3998.0,1.0
2022-06-27,-3.727256,-60.187474,-3998.0,1.0
2022-06-27,-3.543623,-60.297068,-3998.0,1.0
2022-06-27,-3.551676,-60.304835,-3998.0,1.0
2022-06-27,-3.555103,-60.311873,-3998.0,1.0
2022-06-27,-3.554632,-60.294407,-3998.0,1.0
2022-06-27,-3.54131,-60.298827,-3998.0,1.0
2022-06-27,-3.547194,-60.349472,-3998.0,1.0
2022-06-27,-3.547622,-60.350201,-3998.0,1.0
2022-06-27,-3.547494,-60.345137,-3998.0,1.0
2022-06-27,-3.54124,-60.336297,-3998.0,1.0
2022-06-27,-3.536743,-60.330589,-3998.0,1.0
2022-06-27,-3.496307,-60.332907,-3998.0,1.0
2022-06-27,-3.499263,-60.333207,-3998.0,1.0
2022-06-27,-3.499991,-60.337541,-3998.0,1.0
2022-06-27,-3.597435,-60.167562,-3998.0,1.0
2022-06-27,-3.590796,-60.167047,-3998.0,1.0
2022-06-27,-3.590153,-60.18284,-3998.0,1.0
2022-06-27,-3.595978,-60.167047,-3998.0,1.0
2022-06-27,-3.590753,-60.169836,-3998.0,1.0
2022-06-27,-3.590839,-60.173999,-3998.0,1.0
2022-06-27,-3.583643,-60.163828,-3998.0,1.0
2022-06-27,-3.563983,-60.148936,-3998.0,1.0
2022-06-27,-3.524833,-60.14679,-3998.0,1.0
2022-06-27,-3.528388,-60.145417,-3998.0,1.0
2022-06-27,-3.529673,-60.14855,-3998.0,1.0
2022-06-27,-3.531772,-60.146147,-3998.0,1.0
2022-06-27,-3.539782,-60.161768,-3998.0,1.0
2022-06-27,-3.533828,-60.154816,-3998.0,1.0
2022-06-27,-3.524962,-60.145074,-3998.0,1.0
2022-06-27,-3.537812,-60.156017,-3998.0,1.0
2022-06-27,-3.534642,-60.145074,-3998.0,1.0
2022-06-27,-3.513699,-60.2394,-3998.0,1.0
2022-06-27,-3.516269,-60.240172,-3998.0,1.0
2022-06-27,-3.5113,-60.228928,-3998.0,1.0
2022-06-27,-3.567342,-60.325494,-3998.0,1.0
2022-06-27,-3.556677,-60.312233,-3998.0,1.0
2022-06-27,-3.564344,-60.314765,-3998.0,1.0
2022-06-27,-3.56293,-60.32412,-3998.0,1.0
2022-06-27,-3.499606,-60.280549,-3998.0,1.0
2022-06-27,-3.494551,-60.27909,-3998.0,1.0
2022-06-27,-3.484142,-60.316341,-2998.0,1.0
2022-06-27,-3.487612,-60.318916,-2998.0,1.0
2022-06-27,-3.483628,-60.320203,-2998.0,1.0
2022-06-27,-3.474632,-60.319431,-2998.0,1.0
2022-06-27,-3.487612,-60.323336,-2998.0,1.0
2022-06-27,-3.362849,-59.401598,-2998.0,1.0
2022-06-27,-3.359979,-59.398293,-2998.0,1.0
2022-06-27,-3.358008,-59.397521,-2998.0,1.0
2022-06-27,-3.061074,-59.196828,-2998.0,1.0
2022-06-27,-3.062616,-59.192708,-2998.0,1.0
2022-06-27,-3.065273,-59.197043,-2998.0,1.0
2022-06-27,-3.483028,-60.320718,-2998.0,1.0
2022-06-27,-3.469363,-60.323551,-2998.0,1.0
2022-06-27,-3.487612,-60.323379,-2998.0,1.0
2022-06-27,-3.483542,-60.317113,-2998.0,1.0
2022-06-27,-3.487483,-60.3181,-2998.0,1.0
2022-06-27,-3.487612,-60.315869,-2998.0,1.0
2022-06-27,-3.47082,-60.31059,-2998.0,1.0
2022-06-27,-3.487612,-60.328228,-2998.0,1.0
2022-06-27,-3.486198,-60.31368,-2998.0,1.0
2022-06-27,-3.475403,-60.31132,-2998.0,1.0
2022-06-27,-3.46932,-60.327971,-2998.0,1.0
2022-06-27,-3.487612,-60.328228,-2998.0,1.0
2022-06-27,-3.473261,-60.30926,-2998.0,1.0
2022-06-27,-3.487612,-60.316684,-2998.0,1.0
2022-06-27,-3.683574,-60.211013,-3998.0,1.0
2022-06-27,-3.682375,-60.211013,-3998.0,1.0
2022-06-27,-3.544024,-60.267588,-3998.0,1.0
2022-06-27,-3.548094,-60.271107,-3998.0,1.0
2022-06-27,-3.543211,-60.282223,-3998.0,1.0
2022-06-27,-3.549935,-60.281407,-3998.0,1.0
2022-06-27,-3.538927,-60.277073,-3998.0,1.0
2022-06-27,-3.547451,-60.280163,-3998.0,1.0
2022-06-27,-3.55152,-60.268275,-3998.0,1.0
2022-06-27,-3.740745,-60.18623,-3998.0,1.0
2022-06-27,-3.74036,-60.187474,-3998.0,1.0
2022-06-27,-3.570522,-60.299127,-3998.0,1.0
2022-06-27,-3.561313,-60.308912,-3998.0,1.0
2022-06-27,-3.572364,-60.309256,-3998.0,1.0
2022-06-27,-3.571464,-60.301831,-3998.0,1.0
2022-06-27,-3.567224,-60.295995,-3998.0,1.0
